,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,DOGE,0.0,-0.30475928560000004,99999.6952407144,0.0,99999.6952407144,1.0,428876.0,0.003553,428876.0,0.003553,entry_initial_normal_long
1,488,DOGE,11.150775999999992,-0.3069894408,100010.5390272736,0.0,100010.5390272736,1.0,-428876.0,0.003579,0.0,0.003553,close_trailing_long
2,489,DOGE,0.0,-0.304791176,100010.2342360976,0.0,100010.2342360976,1.0,425686.0,0.00358,425686.0,0.00358,entry_initial_normal_long
3,1057,DOGE,0.0,-0.30957766400000003,100009.9246584336,0.0,100009.9246584336,1.0,456335.0,0.003392,882021.0,0.003482733631058671,entry_trailing_normal_long
4,1320,DOGE,16.993341999999828,-0.6177675083999999,100026.3002329252,0.0,100026.3002329252,1.0,-882021.0,0.003502,0.0,0.003482733631058671,close_trailing_long
5,1323,DOGE,0.0,-0.304838961,100025.9953939642,0.0,100025.9953939642,1.0,434615.0,0.003507,434615.0,0.003507,entry_initial_normal_long
6,5222,DOGE,12.16921999999992,-0.30727280500000004,100037.8573411592,0.0,100037.8573411592,1.0,-434615.0,0.003535,0.0,0.003507,close_trailing_long
7,5223,DOGE,0.0,-0.30487441319999997,100037.552466746,0.0,100037.552466746,1.0,430857.0,0.003538,430857.0,0.003538,entry_initial_normal_long
8,5960,DOGE,5.170284000000126,-0.30590847000000004,100042.416842276,0.0,100042.416842276,1.0,-430857.0,0.00355,0.0,0.003538,close_trailing_long
9,5961,DOGE,0.0,-0.304888276,100042.11195399999,0.0,100042.11195399999,1.0,430390.0,0.003542,430390.0,0.003542,entry_initial_normal_long
10,6681,DOGE,0.0,-0.31336793760000003,100041.79858606239,0.0,100041.79858606239,1.0,461378.0,0.003396,891768.0,0.0034664633267845447,entry_trailing_normal_long
11,8805,DOGE,14.746876000000166,-0.6212055888,100055.92425647359,0.0,100055.92425647359,1.0,-891768.0,0.003483,0.0,0.0034664633267845447,close_trailing_long
12,8806,DOGE,0.0,-0.30492939780000006,100055.6193270758,0.0,100055.6193270758,1.0,435489.0,0.003501,435489.0,0.003501,entry_initial_normal_long
13,9183,DOGE,0.0,-0.315586544,100055.30374053179,0.0,100055.30374053179,1.0,466844.0,0.00338,902333.0,0.003438397696859142,entry_trailing_normal_long
14,9699,DOGE,48.36712699999957,-0.6301893672000001,100103.04067816459,0.0,100103.04067816459,1.0,-902333.0,0.003492,0.0,0.003438397696859142,close_trailing_long
15,9700,DOGE,0.0,-0.3050729388,100102.73560522578,0.0,100102.73560522578,1.0,435694.0,0.003501,435694.0,0.003501,entry_initial_normal_long
16,11352,DOGE,8.278185999999964,-0.30672857600000003,100110.70706264979,0.0,100110.70706264979,1.0,-435694.0,0.00352,0.0,0.003501,close_trailing_long
17,11353,DOGE,0.0,-0.3050964392,100110.40196621059,0.0,100110.40196621059,1.0,433622.0,0.003518,433622.0,0.003518,entry_initial_normal_long
18,11488,DOGE,17.344880000000046,-0.3085654152,100127.43828079538,0.0,100127.43828079538,1.0,-433622.0,0.003558,0.0,0.003518,close_trailing_long
19,11489,DOGE,0.0,-0.3051474912,100127.13313330417,0.0,100127.13313330417,1.0,427617.0,0.003568,427617.0,0.003568,entry_initial_normal_long
20,11561,DOGE,13.683743999999962,-0.30788424000000003,100140.50899306417,0.0,100140.50899306417,1.0,-427617.0,0.0036,0.0,0.003568,close_trailing_long
21,11562,DOGE,0.0,-0.305187459,100140.20380560517,0.0,100140.20380560517,1.0,424461.0,0.003595,424461.0,0.003595,entry_initial_normal_long
22,14851,DOGE,23.34535499999997,-0.30985653,100163.23930407516,0.0,100163.23930407516,1.0,-424461.0,0.00365,0.0,0.003595,close_trailing_long
23,14852,DOGE,0.0,-0.30525682800000004,100162.93404724717,0.0,100162.93404724717,1.0,417588.0,0.003655,417588.0,0.003655,entry_initial_normal_long
24,14871,DOGE,9.604524000000007,-0.3071777328,100172.23139351436,0.0,100172.23139351436,1.0,-417588.0,0.003678,0.0,0.003655,close_trailing_long
25,14872,DOGE,0.0,-0.3052840864,100171.92610942796,0.0,100171.92610942796,1.0,413552.0,0.003691,413552.0,0.003691,entry_initial_normal_long
26,16082,DOGE,7.857488000000147,-0.306855584,100179.47674184396,0.0,100179.47674184396,1.0,-413552.0,0.00371,0.0,0.003691,close_trailing_long
27,16083,DOGE,0.0,-0.3053062026,100179.17143564136,0.0,100179.17143564136,1.0,410689.0,0.003717,410689.0,0.003717,entry_initial_normal_long
28,16562,DOGE,0.0,-0.3113511648,100178.86008447656,0.0,100178.86008447656,1.0,440259.0,0.003536,850948.0,0.0036233551721139247,entry_trailing_normal_long
29,16693,DOGE,0.0,-0.6385512,100178.22153327656,0.0,100178.22153327656,1.0,912216.0,0.0035,1763164.0,0.0035595343581198346,entry_trailing_normal_long
30,17552,DOGE,0.0,-0.07364841400000001,100178.14788486256,0.0,100178.14788486256,1.0,108466.0,0.003395,1871630.0,0.003549999148870236,entry_trailing_cropped_long
31,17555,DOGE,0.0,-1.202294724,100176.94559013855,0.0,100176.94559013855,1.0,1760830.0,0.003414,3632460.0,0.0034840737480935783,entry_grid_normal_long
32,17652,DOGE,0.0,-2.3101745680000003,100174.63541557055,0.0,100174.63541557055,1.0,3417418.0,0.00338,7049878.0,0.003433624151651986,entry_grid_normal_long
33,18500,DOGE,0.0,-4.41726165,100170.21815392055,0.0,100170.21815392055,1.0,6632525.0,0.00333,13682403.0,0.0033833924945055336,entry_grid_normal_long
34,18583,DOGE,514.5610460000039,-9.3615001326,100675.41769978795,0.0,100675.41769978795,1.0,-13682403.0,0.003421,0.0,0.0033833924945055336,close_trailing_long
35,18584,DOGE,0.0,-0.30681726,100675.11088252795,0.0,100675.11088252795,1.0,449220.0,0.003415,449220.0,0.003415,entry_initial_normal_long
36,19494,DOGE,11.230499999999932,-0.30906336,100686.03231916795,0.0,100686.03231916795,1.0,-449220.0,0.00344,0.0,0.003415,close_trailing_long
37,19495,DOGE,0.0,-0.30685006800000003,100685.72546909995,0.0,100685.72546909995,1.0,445485.0,0.003444,445485.0,0.003444,entry_initial_normal_long
38,19702,DOGE,13.364550000000035,-0.309522978,100698.78049612195,0.0,100698.78049612195,1.0,-445485.0,0.003474,0.0,0.003444,close_trailing_long
39,19703,DOGE,0.0,-0.3068888556,100698.47360726635,0.0,100698.47360726635,1.0,440679.0,0.003482,440679.0,0.003482,entry_initial_normal_long
40,20437,DOGE,16.745802000000122,-0.310238016,100714.90917125036,0.0,100714.90917125036,1.0,-440679.0,0.00352,0.0,0.003482,close_trailing_long
41,20438,DOGE,0.0,-0.3069375808,100714.60223366956,0.0,100714.60223366956,1.0,435496.0,0.003524,435496.0,0.003524,entry_initial_normal_long
42,20479,DOGE,8.709920000000023,-0.3086795648,100723.00347410476,0.0,100723.00347410476,1.0,-435496.0,0.003544,0.0,0.003524,close_trailing_long
43,20480,DOGE,0.0,-0.3069622816,100722.69651182316,0.0,100722.69651182316,1.0,434053.0,0.003536,434053.0,0.003536,entry_initial_normal_long
44,21186,DOGE,0.0,-0.317524132,100722.37898769116,0.0,100722.37898769116,1.0,465305.0,0.003412,899358.0,0.003471845547601734,entry_trailing_normal_long
45,26756,DOGE,0.0,-0.640170368,100721.73881732316,0.0,100721.73881732316,1.0,964112.0,0.00332,1863470.0,0.003393284521886588,entry_trailing_normal_long
46,26958,DOGE,0.0,-0.07141055620000002,100721.66740676697,0.0,100721.66740676697,1.0,109559.0,0.003259,1973029.0,0.003385827927009689,entry_trailing_cropped_long
47,26959,DOGE,0.0,-1.2121155780000001,100720.45529118896,0.0,100720.45529118896,1.0,1856226.0,0.003265,3829255.0,0.003327256758560085,entry_grid_normal_long
48,26987,DOGE,0.0,-2.3272556979999997,100718.12803549097,0.0,100718.12803549097,1.0,3602563.0,0.00323,7431818.0,0.0032801116858620595,entry_grid_normal_long
49,27336,DOGE,103.2154230000013,-4.8960816984,100816.44737679257,0.0,100816.44737679257,1.0,-7431818.0,0.003294,0.0,0.0032801116858620595,close_trailing_long
50,27337,DOGE,0.0,-0.30724688800000005,100816.14012990457,0.0,100816.14012990457,1.0,466232.0,0.003295,466232.0,0.003295,entry_initial_normal_long
51,28433,DOGE,15.385655999999818,-0.31032401919999997,100831.21546188537,0.0,100831.21546188537,1.0,-466232.0,0.003328,0.0,0.003295,close_trailing_long
52,28435,DOGE,0.0,-0.307292236,100830.90816964937,0.0,100830.90816964937,1.0,460708.0,0.003335,460708.0,0.003335,entry_initial_normal_long
53,29877,DOGE,0.0,-0.314107044,100830.59406260536,0.0,100830.59406260536,1.0,493879.0,0.00318,954587.0,0.003254806947926171,entry_trailing_normal_long
54,33377,DOGE,55.55033100000018,-0.6325093462,100885.51188425916,0.0,100885.51188425916,1.0,-954587.0,0.003313,0.0,0.003254806947926171,close_trailing_long
55,33378,DOGE,0.0,-0.30745767560000004,100885.20442658356,0.0,100885.20442658356,1.0,463877.0,0.003314,463877.0,0.003314,entry_initial_normal_long
56,38126,DOGE,0.0,-0.3027416288,100884.90168495476,0.0,100884.90168495476,1.0,497276.0,0.003044,961153.0,0.0031743088998317645,entry_trailing_normal_long
57,39336,DOGE,0.0,-0.6314021568,100884.27028279797,0.0,100884.27028279797,1.0,1030356.0,0.003064,1991509.0,0.0031172378864469104,entry_trailing_normal_long
58,39615,DOGE,0.0,-0.0966213546,100884.17366144336,0.0,100884.17366144336,1.0,162717.0,0.002969,2154226.0,0.003106040907035752,entry_trailing_cropped_long
59,39616,DOGE,0.0,-1.2091268336,100882.96453460977,0.0,100882.96453460977,1.0,2026696.0,0.002983,4180922.0,0.003046397002144503,entry_grid_normal_long
60,39623,DOGE,0.0,-2.328579312,100880.63595529777,0.0,100880.63595529777,1.0,3933411.0,0.00296,8114333.0,0.0030045161822912616,entry_grid_normal_long
61,39626,DOGE,0.0,-4.442967048,100876.19298824976,0.0,100876.19298824976,1.0,7633964.0,0.00291,15748297.0,0.0029586996007885803,entry_grid_normal_long
62,39626,DOGE,0.0,-8.474750856,100867.71823739377,0.0,100867.71823739377,1.0,14815998.0,0.00286,30564295.0,0.0029108551113971384,entry_grid_normal_long
63,39627,DOGE,-59.21195740942322,-1.6410610680000002,100806.86521891634,0.0,100806.86521891634,1.0,-2839206.0,0.00289,27725089.0,0.0029108551113971384,close_unstuck_long
64,39628,DOGE,-47.7601548567013,-1.6400708948,100757.46499316485,0.0,100757.46499316485,1.0,-2833571.0,0.002894,24891518.0,0.0029108551113971384,close_unstuck_long
65,39629,DOGE,-59.1472439987579,-1.6392675340000002,100696.67848163209,0.0,100696.67848163209,1.0,-2836103.0,0.00289,22055415.0,0.0029108551113971384,close_unstuck_long
66,39630,DOGE,-47.70795457670436,-1.6382783512,100647.33224870419,0.0,100647.33224870419,1.0,-2830474.0,0.002894,19224941.0,0.0029108551113971384,close_unstuck_long
67,39658,DOGE,368.45921876042985,-10.7218658934,101005.06960157122,0.0,101005.06960157122,1.0,-18290457.0,0.002931,934484.0,0.0029108551113971384,close_trailing_long
68,39767,DOGE,37.514756081156555,-0.5515324568000001,101042.03282519558,0.0,101042.03282519558,1.0,-934484.0,0.002951,0.0,0.0029108551113971384,close_trailing_long
69,39769,DOGE,0.0,-0.3079347058,101041.72489048979,0.0,101041.72489048979,1.0,521393.0,0.002953,521393.0,0.002953,entry_initial_normal_long
70,40293,DOGE,0.0,-0.3065188572,101041.41837163258,0.0,101041.41837163258,1.0,558933.0,0.002742,1080326.0,0.0028438340047356077,entry_trailing_normal_long
71,40788,DOGE,0.0,-0.6369599499999999,101040.78141168258,0.0,101040.78141168258,1.0,1158109.0,0.00275,2238435.0,0.002795286691371427,entry_trailing_normal_long
72,40983,DOGE,48.60383000000036,-1.2611342790000002,101088.12410740358,0.0,101088.12410740358,1.0,-2238435.0,0.002817,0.0,0.002795286691371427,close_trailing_long
73,40985,DOGE,0.0,-0.3080751192,101087.81603228438,0.0,101087.81603228438,1.0,545652.0,0.002823,545652.0,0.002823,entry_initial_normal_long
74,41089,DOGE,9.276084000000049,-0.30993033600000003,101096.78218594838,0.0,101096.78218594838,1.0,-545652.0,0.00284,0.0,0.002823,close_trailing_long
75,41091,DOGE,0.0,-0.3081013362,101096.47408461219,0.0,101096.47408461219,1.0,542241.0,0.002841,542241.0,0.002841,entry_initial_normal_long
76,41682,DOGE,48.801689999999894,-0.31786167420000006,101144.95791293799,0.0,101144.95791293799,1.0,-542241.0,0.002931,0.0,0.002841,close_trailing_long
77,41683,DOGE,0.0,-0.3082485804,101144.64966435758,0.0,101144.64966435758,1.0,525842.0,0.002931,525842.0,0.002931,entry_initial_normal_long
78,42477,DOGE,0.0,-0.31533545820000003,101144.33432889938,0.0,101144.33432889938,1.0,563703.0,0.002797,1089545.0,0.0028616717923536893,entry_trailing_normal_long
79,42521,DOGE,0.0,-0.6433299936,101143.69099890577,0.0,101143.69099890577,1.0,1167992.0,0.002754,2257537.0,0.0028059651562742935,entry_trailing_normal_long
80,43569,DOGE,0.0,-0.07474993,101143.61624897577,0.0,101143.61624897577,1.0,137915.0,0.00271,2395452.0,0.0028004400885511377,entry_trailing_cropped_long
81,43572,DOGE,0.0,-1.2205719656,101142.39567701016,0.0,101142.39567701016,1.0,2253641.0,0.002708,4649093.0,0.002755629891464851,entry_grid_normal_long
82,43736,DOGE,66.80797100000075,-2.5755975220000003,101206.62805048817,0.0,101206.62805048817,1.0,-4649093.0,0.00277,0.0,0.002755629891464851,close_trailing_long
83,43738,DOGE,0.0,-0.308436552,101206.31961393617,0.0,101206.31961393617,1.0,554742.0,0.00278,554742.0,0.00278,entry_initial_normal_long
84,45615,DOGE,14.978034000000063,-0.3114321588,101220.98621577738,0.0,101220.98621577738,1.0,-554742.0,0.002807,0.0,0.00278,close_trailing_long
85,45616,DOGE,0.0,-0.30848024760000003,101220.67773552978,0.0,101220.67773552978,1.0,548117.0,0.002814,548117.0,0.002814,entry_initial_normal_long
86,47246,DOGE,0.0,-0.31964406400000006,101220.35809146578,0.0,101220.35809146578,1.0,587581.0,0.00272,1135698.0,0.002765366812303975,entry_trailing_normal_long
87,48492,DOGE,16.61888200000016,-0.6314480880000001,101236.34552537778,0.0,101236.34552537778,1.0,-1135698.0,0.00278,0.0,0.002765366812303975,close_trailing_long
88,48493,DOGE,0.0,-0.3085267776,101236.03699860018,0.0,101236.03699860018,1.0,554107.0,0.002784,554107.0,0.002784,entry_initial_normal_long
89,49136,DOGE,16.06910299999997,-0.3117405982,101251.79436100197,0.0,101251.79436100197,1.0,-554107.0,0.002813,0.0,0.002784,close_trailing_long
90,49137,DOGE,0.0,-0.30857423520000005,101251.48578676677,0.0,101251.48578676677,1.0,548284.0,0.002814,548284.0,0.002814,entry_initial_normal_long
91,56652,DOGE,18.093372000000024,-0.31219290960000007,101269.26696585717,0.0,101269.26696585717,1.0,-548284.0,0.002847,0.0,0.002814,close_trailing_long
92,56653,DOGE,0.0,-0.3086274672,101268.95833838997,0.0,101268.95833838997,1.0,542594.0,0.002844,542594.0,0.002844,entry_initial_normal_long
93,65418,DOGE,0.0,-0.3154929264,101268.64284546358,0.0,101268.64284546358,1.0,581661.0,0.002712,1124255.0,0.002775706550560149,entry_trailing_normal_long
94,65575,DOGE,0.0,-0.6418900526000001,101268.00095541097,0.0,101268.00095541097,1.0,1205201.0,0.002663,2329456.0,0.002717395061765494,entry_trailing_normal_long
95,65682,DOGE,0.0,-0.077302485,101267.92365292597,0.0,101267.92365292597,1.0,149175.0,0.002591,2478631.0,0.002709788046708042,entry_trailing_cropped_long
96,65683,DOGE,0.0,-1.2121195408000003,101266.71153338517,0.0,101266.71153338517,1.0,2331896.0,0.002599,4810527.0,0.002656083701432297,entry_grid_normal_long
97,66243,DOGE,0.0,-2.335283904,101264.37624948117,0.0,101264.37624948117,1.0,4525744.0,0.00258,9336271.0,0.0026192022360961888,entry_grid_normal_long
98,67143,DOGE,100.8108499999992,-4.910878546,101360.27622093516,0.0,101360.27622093516,1.0,-9336271.0,0.00263,0.0,0.0026192022360961888,close_trailing_long
99,67144,DOGE,0.0,-0.3089046576,101359.96731627756,0.0,101359.96731627756,1.0,587048.0,0.002631,587048.0,0.002631,entry_initial_normal_long
100,70715,DOGE,24.656015999999962,-0.31383586080000003,101384.30949641675,0.0,101384.30949641675,1.0,-587048.0,0.002673,0.0,0.002631,close_trailing_long
101,70717,DOGE,0.0,-0.308977736,101384.00051868075,0.0,101384.00051868075,1.0,576451.0,0.00268,576451.0,0.00268,entry_initial_normal_long
102,72048,DOGE,10.952568999999954,-0.3111682498,101394.64191943096,0.0,101394.64191943096,1.0,-576451.0,0.002699,0.0,0.00268,close_trailing_long
103,72049,DOGE,0.0,-0.3090090498,101394.33291038116,0.0,101394.33291038116,1.0,572451.0,0.002699,572451.0,0.002699,entry_initial_normal_long
104,72356,DOGE,10.876568999999954,-0.3111843636,101404.89829501756,0.0,101404.89829501756,1.0,-572451.0,0.002718,0.0,0.002699,close_trailing_long
105,72357,DOGE,0.0,-0.3090406368,101404.58925438076,0.0,101404.58925438076,1.0,567672.0,0.002722,567672.0,0.002722,entry_initial_normal_long
106,80187,DOGE,0.0,-0.31814680320000005,101404.27110757756,0.0,101404.27110757756,1.0,608544.0,0.002614,1176216.0,0.002666123569140362,entry_trailing_normal_long
107,80978,DOGE,0.0,-0.6478524752000001,101403.62325510236,0.0,101403.62325510236,1.0,1260904.0,0.002569,2437120.0,0.0026158743008140757,entry_trailing_normal_long
108,84322,DOGE,88.04266399999943,-1.292648448,101490.37327065435,0.0,101490.37327065435,1.0,-2437120.0,0.002652,0.0,0.0026158743008140757,close_trailing_long
109,84324,DOGE,0.0,-0.309301128,101490.06396952635,0.0,101490.06396952635,1.0,582488.0,0.002655,582488.0,0.002655,entry_initial_normal_long
110,92288,DOGE,20.969568000000006,-0.31349504159999997,101510.72004248475,0.0,101510.72004248475,1.0,-582488.0,0.002691,0.0,0.002655,close_trailing_long
111,92289,DOGE,0.0,-0.309362823,101510.41067966176,0.0,101510.41067966176,1.0,573957.0,0.002695,573957.0,0.002695,entry_initial_normal_long
112,100344,DOGE,0.0,-0.31982358360000007,101510.09085607815,0.0,101510.09085607815,1.0,615282.0,0.002599,1189239.0,0.0026453320425919432,entry_trailing_normal_long
113,109775,DOGE,17.443707000000067,-0.632675148,101526.90188793016,0.0,101526.90188793016,1.0,-1189239.0,0.00266,0.0,0.0026453320425919432,close_trailing_long
114,109777,DOGE,0.0,-0.309412264,101526.59247566616,0.0,101526.59247566616,1.0,581602.0,0.00266,581602.0,0.00266,entry_initial_normal_long
115,110198,DOGE,5.816020000000015,-0.310575468,101532.09792019815,0.0,101532.09792019815,1.0,-581602.0,0.00267,0.0,0.00266,close_trailing_long
116,110199,DOGE,0.0,-0.30942840540000005,101531.78849179276,0.0,101531.78849179276,1.0,579237.0,0.002671,579237.0,0.002671,entry_initial_normal_long
117,115423,DOGE,101.3664749999999,-0.3297017004,101632.82526509235,0.0,101632.82526509235,1.0,-579237.0,0.002846,0.0,0.002671,close_trailing_long
118,115425,DOGE,0.0,-0.3097353708,101632.51552972155,0.0,101632.51552972155,1.0,541117.0,0.002862,541117.0,0.002862,entry_initial_normal_long
119,115437,DOGE,9.74010600000012,-0.311683392,101641.94395232956,0.0,101641.94395232956,1.0,-541117.0,0.00288,0.0,0.002862,close_trailing_long
120,115438,DOGE,0.0,-0.3097632024,101641.63418912716,0.0,101641.63418912716,1.0,536108.0,0.002889,536108.0,0.002889,entry_initial_normal_long
121,116158,DOGE,0.0,-0.3164342248,101641.31775490235,0.0,101641.31775490235,1.0,574708.0,0.002753,1110816.0,0.0028186370524011174,entry_trailing_normal_long
122,116202,DOGE,0.0,-0.6470780030000001,101640.67067689935,0.0,101640.67067689935,1.0,1190795.0,0.002717,2301611.0,0.002766052626182269,entry_trailing_normal_long
123,117268,DOGE,0.0,-0.07498129760000001,101640.59569560175,0.0,101640.59569560175,1.0,141581.0,0.002648,2443192.0,0.002759211571992704,entry_trailing_cropped_long
124,117269,DOGE,0.0,-1.21823415,101639.37746145175,0.0,101639.37746145175,1.0,2298555.0,0.00265,4741747.0,0.002706271420427956,entry_grid_normal_long
125,118683,DOGE,0.0,-2.346504936,101637.03095651575,0.0,101637.03095651575,1.0,4461036.0,0.00263,9202783.0,0.002669298957608802,entry_grid_normal_long
126,118935,DOGE,0.0,-4.484832604,101632.54612391176,0.0,101632.54612391176,1.0,8657978.0,0.00259,17860761.0,0.0026308589028765346,entry_grid_normal_long
127,120251,DOGE,0.0,-8.536129232,101624.00999467976,0.0,101624.00999467976,1.0,16803404.0,0.00254,34664165.0,0.0025868151807204934,entry_grid_normal_long
128,120252,DOGE,-155.68331169990242,-1.6533658242000002,101466.67331715566,0.0,101466.67331715566,1.0,-3255939.0,0.002539,31408226.0,0.0025868151807204934,close_unstuck_long
129,120254,DOGE,-172.0355219430324,-1.6508057215999998,101292.98698949102,0.0,101292.98698949102,1.0,-3257312.0,0.002534,28150914.0,0.0025868151807204934,close_unstuck_long
130,120255,DOGE,-165.10726237196673,-1.6479800384000003,101126.23174708066,0.0,101126.23174708066,1.0,-3249172.0,0.002536,24901742.0,0.0025868151807204934,close_unstuck_long
131,120257,DOGE,-161.52796516933157,-1.6452673330000003,100963.05851457833,0.0,100963.05851457833,1.0,-3242545.0,0.002537,21659197.0,0.0025868151807204934,close_unstuck_long
132,126911,DOGE,0.0,-10.147732554000001,100952.91078202432,0.0,100952.91078202432,1.0,20376973.0,0.00249,42036170.0,0.002539884160993158,entry_grid_normal_long
133,126912,DOGE,-205.087698812663,-1.6424471448000002,100746.18063606686,0.0,100746.18063606686,1.0,-3314058.0,0.002478,38722112.0,0.002539884160993158,close_unstuck_long
134,126915,DOGE,-228.46403260050855,-1.6390839822000003,100516.07751948414,0.0,100516.07751948414,1.0,-3316641.0,0.002471,35405471.0,0.002539884160993158,close_unstuck_long
135,126916,DOGE,-227.94223508098537,-1.6353404172000001,100286.49994398595,0.0,100286.49994398595,1.0,-3309066.0,0.002471,32096405.0,0.002539884160993158,close_unstuck_long
136,126917,DOGE,-227.42160859219908,-1.6316052536,100057.44673014016,0.0,100057.44673014016,1.0,-3301508.0,0.002471,28794897.0,0.002539884160993158,close_unstuck_long
137,126919,DOGE,-230.28934560491498,-1.627878694,99825.52950584124,0.0,99825.52950584124,1.0,-3295301.0,0.00247,25499596.0,0.002539884160993158,close_unstuck_long
138,126920,DOGE,-229.75557038324925,-1.624105522,99594.149829936,0.0,99594.149829936,1.0,-3287663.0,0.00247,22211933.0,0.002539884160993158,close_unstuck_long
139,130055,DOGE,396.5118389823791,-10.6160529558,99980.04561596258,0.0,99980.04561596258,1.0,-20742581.0,0.002559,1469352.0,0.002539884160993158,close_trailing_long
140,130650,DOGE,117.71836827638106,-0.769940448,100096.99404379095,0.0,100096.99404379095,1.0,-1469352.0,0.00262,0.0,0.002539884160993158,close_trailing_long
141,130651,DOGE,0.0,-0.30505445999999997,100096.68898933096,0.0,100096.68898933096,1.0,582165.0,0.00262,582165.0,0.00262,entry_initial_normal_long
142,131022,DOGE,13.38979500000001,-0.307732419,100109.77105191196,0.0,100109.77105191196,1.0,-582165.0,0.002643,0.0,0.00262,close_trailing_long
143,131023,DOGE,0.0,-0.30509364780000003,100109.46595826416,0.0,100109.46595826416,1.0,577173.0,0.002643,577173.0,0.002643,entry_initial_normal_long
144,131189,DOGE,18.469535999999948,-0.308787555,100127.62670670917,0.0,100127.62670670917,1.0,-577173.0,0.002675,0.0,0.002643,close_trailing_long
145,131190,DOGE,0.0,-0.30514778840000006,100127.32155892077,0.0,100127.32155892077,1.0,570583.0,0.002674,570583.0,0.002674,entry_initial_normal_long
146,131568,DOGE,21.111570999999834,-0.3093701026,100148.12375981816,0.0,100148.12375981816,1.0,-570583.0,0.002711,0.0,0.002674,close_trailing_long
147,131571,DOGE,0.0,-0.305210526,100147.81854929216,0.0,100147.81854929216,1.0,562082.0,0.002715,562082.0,0.002715,entry_initial_normal_long
148,131767,DOGE,39.345740000000106,-0.31307967400000003,100186.85120961817,0.0,100186.85120961817,1.0,-562082.0,0.002785,0.0,0.002715,close_trailing_long
149,131768,DOGE,0.0,-0.3053285184,100186.54588109977,0.0,100186.54588109977,1.0,548363.0,0.002784,548363.0,0.002784,entry_initial_normal_long
150,131910,DOGE,8.773807999999976,-0.30708328,100195.01260581976,0.0,100195.01260581976,1.0,-548363.0,0.0028,0.0,0.002784,close_trailing_long
151,131912,DOGE,0.0,-0.3053534096,100194.70725241017,0.0,100194.70725241017,1.0,544108.0,0.002806,544108.0,0.002806,entry_initial_normal_long
152,133407,DOGE,0.0,-0.3160232712,100194.39122913897,0.0,100194.39122913897,1.0,583284.0,0.002709,1127392.0,0.0027558146625131274,entry_trailing_normal_long
153,133620,DOGE,0.0,-0.6398137816,100193.75141535737,0.0,100193.75141535737,1.0,1208564.0,0.002647,2335956.0,0.0026995167340480722,entry_trailing_normal_long
154,134718,DOGE,31.49631600000172,-1.2674897256000002,100223.98024163177,0.0,100223.98024163177,1.0,-2335956.0,0.002713,0.0,0.0026995167340480722,close_trailing_long
155,134720,DOGE,0.0,-0.30544147720000003,100223.67480015456,0.0,100223.67480015456,1.0,562922.0,0.002713,562922.0,0.002713,entry_initial_normal_long
156,135981,DOGE,25.331489999999945,-0.3105077752,100248.69578237936,0.0,100248.69578237936,1.0,-562922.0,0.002758,0.0,0.002713,close_trailing_long
157,135983,DOGE,0.0,-0.30551676140000006,100248.39026561797,0.0,100248.39026561797,1.0,553673.0,0.002759,553673.0,0.002759,entry_initial_normal_long
158,137450,DOGE,8.305094999999902,-0.3071777804,100256.38818283757,0.0,100256.38818283757,1.0,-553673.0,0.002774,0.0,0.002759,close_trailing_long
159,137451,DOGE,0.0,-0.3055403736,100256.08264246397,0.0,100256.08264246397,1.0,551119.0,0.002772,551119.0,0.002772,entry_initial_normal_long
160,137632,DOGE,40.782805999999916,-0.31369693480000005,100296.55175152917,0.0,100296.55175152917,1.0,-551119.0,0.002846,0.0,0.002772,close_trailing_long
161,137633,DOGE,0.0,-0.30566282920000004,100296.24608869998,0.0,100296.24608869998,1.0,535499.0,0.002854,535499.0,0.002854,entry_initial_normal_long
162,139797,DOGE,0.0,-0.316533927,100295.92955477297,0.0,100295.92955477297,1.0,574055.0,0.002757,1109554.0,0.002803814668776824,entry_trailing_normal_long
163,142015,DOGE,17.95849900000006,-0.6257884560000001,100313.26226531697,0.0,100313.26226531697,1.0,-1109554.0,0.00282,0.0,0.002803814668776824,close_trailing_long
164,142016,DOGE,0.0,-0.30571346839999997,100312.95655184856,0.0,100312.95655184856,1.0,541661.0,0.002822,541661.0,0.002822,entry_initial_normal_long
165,146227,DOGE,66.08264200000008,-0.3189299968,100378.72026385176,0.0,100378.72026385176,1.0,-541661.0,0.002944,0.0,0.002822,close_trailing_long
166,146228,DOGE,0.0,-0.3059130542,100378.41435079757,0.0,100378.41435079757,1.0,518321.0,0.002951,518321.0,0.002951,entry_initial_normal_long
167,146339,DOGE,17.104593000000023,-0.3093339728,100395.20960982477,0.0,100395.20960982477,1.0,-518321.0,0.002984,0.0,0.002951,close_trailing_long
168,146340,DOGE,0.0,-0.3059631486,100394.90364667618,0.0,100394.90364667618,1.0,511473.0,0.002991,511473.0,0.002991,entry_initial_normal_long
169,146382,DOGE,8.695040999999824,-0.30770215679999996,100403.29098551937,0.0,100403.29098551937,1.0,-511473.0,0.003008,0.0,0.002991,close_trailing_long
170,146383,DOGE,0.0,-0.30598800000000004,100402.98499751938,0.0,100402.98499751938,1.0,509980.0,0.003,509980.0,0.003,entry_initial_normal_long
171,148668,DOGE,0.0,-0.31446126480000003,100402.67053625458,0.0,100402.67053625458,1.0,546699.0,0.002876,1056679.0,0.002935845534925933,entry_trailing_normal_long
